City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
361,Ancud,CL,-41.8697,-73.8203,66.61,59,77,7.2,broken clouds
362,Port Blair,IN,11.6667,92.75,71.64,88,100,0.0,mist
363,Concordia,AR,-31.393,-58.0209,95.07,38,75,4.61,broken clouds
364,La Palma,US,33.8464,-118.0467,62.78,62,75,1.99,broken clouds
365,Novoagansk,RU,61.9449,76.6625,0.21,98,77,7.31,broken clouds
366,Bourail,NC,-21.5667,165.4833,74.64,81,74,5.61,broken clouds
367,Berdsk,RU,54.7551,83.0967,4.6,89,100,9.75,overcast clouds
368,Safakulevo,RU,54.9901,62.5442,-0.94,88,11,2.77,few clouds
369,Itapolis,BR,-21.5956,-48.8128,82.38,64,95,2.64,moderate rain
370,Emba,KZ,48.8264,58.1442,10.31,74,95,9.26,overcast clouds
371,Pangnirtung,CA,66.1451,-65.7125,-11.2,58,20,2.3,few clouds
372,Brigantine,US,39.4101,-74.3646,58.03,57,20,19.57,few clouds
